Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-04-25,94.23,95.4,93.8,95.348,42398000.0,0.0,1.0,12.159003509733,12.309974900016,12.103518297919,12.303265060448,296786000.0
2007-04-26,101.58,102.5,98.3,98.84,62063500.0,0.0,1.0,13.107413525614,13.22612607182,12.684177491316,12.753856594524,434444500.0
2007-04-27,98.18,99.95,97.69,99.92,24978700.0,0.0,1.0,12.668693246159,12.897085862228,12.605465911767,12.893214800939,174850900.0
2007-04-30,100.09,101.0,99.67,99.8,22018200.0,0.0,1.0,12.915150814912,13.032573007354,12.860955956861,12.877730555782,154127400.0
2007-05-01,99.59,100.35,98.55,99.47,19018700.0,0.0,1.0,12.850633126756,12.948700012752,12.716436335394,12.835148881599,133130900.0
2007-05-02,99.65,100.54,99.47,100.39,18040900.0,0.0,1.0,12.858375249335,12.973216734251,12.835148881599,12.953861427805,126286300.0
2007-05-03,100.73,101.45,100.01,100.4,20574200.0,0.0,1.0,12.99773345575,13.090638926694,12.904827984807,12.955151781568,144019400.0
2007-05-04,100.8,101.6,100.5,100.81,13642400.0,0.0,1.0,13.006765932092,13.10999423314,12.968055319199,13.008056285855,95496800.0
2007-05-07,101.08,104.35,101.01,103.92,30769900.0,0.0,1.0,13.042895837459,13.464841517994,13.033863361117,13.409356306181,215389300.0
2007-05-08,103.47,105.15,103.42,105.06,27999900.0,0.0,1.0,13.351290386841,13.568069819043,13.344838618025,13.556456635175,195999300.0
2007-05-09,104.91,106.96,104.89,106.88,25634200.0,0.0,1.0,13.537101328728,13.801623850164,13.534520621202,13.79130102006,179439400.0
2007-05-10,106.63,108.84,105.92,107.34,42759200.0,0.0,1.0,13.759042175982,14.044210357628,13.667427058802,13.850657293162,299314400.0
2007-05-11,107.74,109.13,106.78,108.74,23346300.0,0.0,1.0,13.902271443687,14.081630616758,13.778397482429,14.031306819997,163424100.0
2007-05-14,109.62,110.0,108.25,109.36,23283800.0,0.0,1.0,14.14485795115,14.193891394148,13.968079485605,14.111308753309,162986600.0
2007-05-15,109.57,110.2,106.48,107.52,34089800.0,0.0,1.0,14.138406182335,14.21969846941,13.739686869535,13.873883660898,238628600.0
2007-05-16,108.53,108.83,103.42,107.34,40241700.0,0.0,1.0,14.004209390972,14.042920003865,13.344838618025,13.850657293162,281691900.0
2007-05-17,107.15,109.87,107.15,109.44,26260400.0,0.0,1.0,13.826140571663,14.177116795228,13.826140571663,14.121631583414,183822800.0
2007-05-18,110.23,110.64,109.77,110.02,22190900.0,0.0,1.0,14.2235695307,14.276474034987,14.164213257597,14.196472101674,155336300.0
2007-05-21,110.31,112.45,110.05,111.98,22853300.0,0.0,1.0,14.233892360804,14.510028066109,14.200343162964,14.449381439243,159973100.0
2007-05-22,112.49,113.75,112.01,113.54,20443200.0,0.0,1.0,14.515189481161,14.677774055312,14.453252500532,14.650676626287,143102400.0
2007-05-23,114.02,115.0,112.59,112.89,32549100.0,0.0,1.0,14.712613606916,14.8390682757,14.528093018792,14.566803631685,227843700.0
2007-05-24,112.81,114.46,110.37,110.69,31691500.0,0.0,1.0,14.55648080158,14.769389172493,14.241634483383,14.282925803802,221840500.0
2007-05-25,112.0,113.78,111.5,113.62,22605700.0,0.0,1.0,14.451962146769,14.681645116602,14.387444458614,14.660999456392,158239900.0
2007-05-29,114.45,114.86,112.69,114.35,23060500.0,0.0,1.0,14.76809881873,14.821003323017,14.540996556423,14.755195281099,161423500.0
2007-05-30,114.3,118.88,113.53,118.77,52801600.0,0.0,1.0,14.748743512283,15.339725535785,14.649386272524,15.325531644391,369611200.0
2007-05-31,120.07,122.17,119.541,121.191,46323800.0,0.0,1.0,15.493277633594,15.764251923846,15.425017919526,15.637926290438,324266600.0
2007-06-01,121.1,121.19,118.29,118.4,31616500.0,0.0,1.0,15.626184071194,15.637797255062,15.263594663762,15.277788555156,221315500.0
2007-06-04,118.63,121.73,117.9,121.33,31666900.0,0.0,1.0,15.307466691707,15.70747635827,15.213270867001,15.655862207745,221668300.0
2007-06-05,121.41,122.69,120.5,122.67,32885200.0,0.0,1.0,15.66618503785,15.831350319528,15.548762845408,15.828769612001,230196400.0
2007-06-06,122.3,124.05,121.95,123.64,39722900.0,0.0,1.0,15.781026522767,16.00683843131,15.735864141058,15.953933927022,278060300.0
2007-06-07,124.99,127.61,123.19,124.069,68395700.0,0.0,1.0,16.128131685042,16.466204370975,15.895868007683,16.00929010346,478769900.0
2007-06-08,125.825,125.83,122.29,124.49,44345800.0,0.0,1.0,16.235876224261,16.236521401142,15.779736169003,16.063613996886,310420600.0
2007-06-11,126.0,126.15,119.54,120.19,66937800.0,0.0,1.0,16.258457415115,16.277812721562,15.42488888415,15.508761878751,468564600.0
2007-06-12,119.35,121.71,118.31,120.38,50948800.0,0.0,1.0,15.400372162651,15.704895650743,15.266175371288,15.53327860025,356641600.0
2007-06-13,121.15,121.19,115.4,117.5,61476900.0,0.0,1.0,15.63263584001,15.637797255062,14.890682426224,15.161656716476,430338300.0
2007-06-14,117.2,119.45,116.42,118.75,34759500.0,0.0,1.0,15.122946103583,15.413275700282,15.022298510061,15.322950936864,243316500.0
2007-06-15,120.62,120.67,119.86,120.5,28972100.0,0.0,1.0,15.564247090565,15.57069885938,15.466180204569,15.548762845408,202804700.0
2007-06-18,123.28,125.18,122.54,125.09,32521600.0,0.0,1.0,15.907481191551,16.152648406541,15.811995013081,16.141035222673,227651200.0
2007-06-19,124.69,125.01,122.91,123.66,33679500.0,0.0,1.0,16.089421072148,16.130712392568,15.859738102316,15.956514634549,235756500.0
2007-06-20,123.87,124.66,121.5,121.55,32054000.0,0.0,1.0,15.983612063574,16.085550010859,15.677798221718,15.684249990534,224378000.0
2007-06-21,121.7,124.29,120.72,123.9,30965900.0,0.0,1.0,15.70360529698,16.037806921624,15.577150628196,15.987483124863,216761300.0
2007-06-22,123.85,124.45,122.38,123.0,22567000.0,0.0,1.0,15.981031356048,16.058452581834,15.791349352871,15.871351286184,157969000.0
2007-06-25,124.19,125.09,121.06,122.34,34478700.0,0.0,1.0,16.024903383993,16.141035222673,15.621022656142,15.786187937819,241350900.0
2007-06-26,123.98,124.0,118.72,119.65,48035900.0,0.0,1.0,15.997805954968,16.000386662494,15.319079875575,15.439082775544,336251300.0
